none,#genre#
西藏卫视,http://video.qd.sdu.edu.cn/liverespath/223db5dc75cab2536cbebcda8e6730ff6bf58309/index.m3u8
厦门卫视,http://video.qd.sdu.edu.cn/liverespath/151ef24b315bb7709d1a2f7a35d260932c6e9eb5/index.m3u8
新疆卫视,http://video.qd.sdu.edu.cn/liverespath/d75bf52e702ca0fb44344fc2e86e7675ac112ec7/index.m3u8
云南卫视,http://video.qd.sdu.edu.cn/liverespath/d45a277ca433670e3f463b497783af19bb2c63f8/index.m3u8
浙江卫视,http://tv6.blcu.edu.cn/liverespath/f650ba03bb4883fe67a1fb7c193a00a4c0c93881/3825f45225-0-0-4b8b705c5025ae8e82ace2d646e2a0a9/index.m3u8
浙江卫视,http://video.qd.sdu.edu.cn/liverespath/f650ba03bb4883fe67a1fb7c193a00a4c0c93881/index.m3u8

央视频道,#genre#
CCTV1[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000004000002226
CCTV1[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265001
CCTV2,http://home.isvvv.com:5050/itv/ystenlive/1000000001000023315
CCTV2[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000014161
CCTV2[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000001000023315
CCTV3,http://home.isvvv.com:5050/itv/wasusyt/6000000001000022313
CCTV3[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265003
CCTV4[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000011000031102
CCTV4[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265004
CCTV5,http://home.isvvv.com:5050/itv/ystenlive/1000000005000025222
CCTV5[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265005
CCTV5+,http://home.isvvv.com:5050/itv/wasusyt/6000000001000015875
CCTV5+[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265016
CCTV6,http://home.isvvv.com:5050/itv/ystenlive/1000000001000001737
CCTV6[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000004574
CCTV6[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265006
CCTV7,http://home.isvvv.com:5050/itv/ystenlive/1000000001000024341
CCTV7[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000009055
