港澳频道,#genre#
CCTV6,http://171.110.10.10:8181/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://171.109.7.15:18181/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://171.108.239.115:8181/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://171.110.42.134:8181/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://120.84.121.3:808/hls/107/index.m3u8
CCTV7,http://120.84.121.118:808/hls/107/index.m3u8
CCTV7,http://120.84.121.223:808/hls/107/index.m3u8
CCTV7,http://14.155.190.4:8888/hls/4/index.m3u8
CCTV7,http://106.46.35.133:808/hls/7/index.m3u8
CCTV7,http://171.13.174.159:20443/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://171.108.239.116:8181/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://171.110.42.134:8181/tsfile/live/1153_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://171.110.10.10:8181/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://171.109.7.15:18181/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://171.108.239.115:8181/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://120.84.121.3:808/hls/8/index.m3u8
CCTV8,http://120.84.121.118:808/hls/8/index.m3u8
CCTV8,http://120.84.121.223:808/hls/8/index.m3u8
CCTV8,http://106.46.35.133:808/hls/8/index.m3u8
CCTV8,http://171.13.174.159:20443/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://171.108.239.116:8181/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://171.110.42.134:8181/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://171.110.10.10:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://171.109.7.15:18181/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://171.108.239.115:8181/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://120.84.121.3:808/hls/109/index.m3u8
CCTV9,http://120.84.121.118:808/hls/109/index.m3u8
CCTV9,http://120.84.121.223:808/hls/109/index.m3u8
CCTV9,http://106.46.35.133:808/hls/9/index.m3u8
CCTV9,http://171.13.174.159:20443/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://171.108.239.116:8181/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://171.110.42.134:8181/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://171.109.7.15:18181/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://171.110.10.10:8181/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://171.108.239.115:8181/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://120.84.121.118:808/hls/110/index.m3u8
CCTV10,http://120.84.121.3:808/hls/110/index.m3u8
CCTV10,http://120.84.121.223:808/hls/110/index.m3u8
CCTV10,http://106.46.35.133:808/hls/10/index.m3u8
CCTV10,http://171.13.174.159:20443/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.108.239.116:8181/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.110.42.134:8181/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.110.10.10:8181/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.109.7.15:18181/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.108.239.115:8181/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://120.84.121.3:808/hls/111/index.m3u8
CCTV11,http://120.84.121.223:808/hls/111/index.m3u8
CCTV11,http://120.84.121.118:808/hls/111/index.m3u8
CCTV11,http://106.46.35.133:808/hls/11/index.m3u8
CCTV11,http://171.13.174.159:20443/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://171.108.239.116:8181/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://171.110.42.134:8181/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://171.109.7.15:18181/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://171.110.10.10:8181/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://171.108.239.115:8181/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://120.84.121.3:808/hls/112/index.m3u8
CCTV12,http://120.84.121.118:808/hls/112/index.m3u8
CCTV12,http://120.84.121.223:808/hls/112/index.m3u8
CCTV12,http://106.46.35.133:808/hls/12/index.m3u8
CCTV12,http://171.13.174.159:20443/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://171.108.239.116:8181/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://171.110.42.134:8181/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://171.109.7.15:18181/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://171.108.239.115:8181/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://120.84.121.3:808/hls/113/index.m3u8
CCTV13,http://120.84.121.118:808/hls/113/index.m3u8
CCTV13,http://120.84.121.223:808/hls/113/index.m3u8
CCTV13,http://14.155.190.4:8888/hls/9/index.m3u8
CCTV13,http://106.46.35.133:808/hls/13/index.m3u8
CCTV13,http://171.13.174.159:20443/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
